,sentence,sentiment,source
162,This is essentially a communications tool that does not communicate.,0,amazon_cells_labelled
163,Works like a charm; it work the same as the one I got with the phone.,1,amazon_cells_labelled
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,amazon_cells_labelled
165,Great Value.,1,amazon_cells_labelled
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0,amazon_cells_labelled
167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,amazon_cells_labelled
168,doesn't last long.,0,amazon_cells_labelled
169,One thing I hate is the mode set button at the side.,0,amazon_cells_labelled
170,EXCELLENT SERVICE!!!!!!!!.,1,amazon_cells_labelled
171,Thank you for wasting my money.,0,amazon_cells_labelled
172,How can that be?The audio quality is poor.,0,amazon_cells_labelled
173,The iGo chargers and tips are really great.,1,amazon_cells_labelled
174,The file browser offers all the options that one needs.Handsfree is great.,1,amazon_cells_labelled
175,Superb Phone on a Great Network.,1,amazon_cells_labelled
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,amazon_cells_labelled
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,amazon_cells_labelled
178,It only recognizes the Phone as its storage device.,0,amazon_cells_labelled
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,amazon_cells_labelled
180,Don't buy this product.,0,amazon_cells_labelled
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,amazon_cells_labelled
182,The sound quality is good and functionality is awesome.,1,amazon_cells_labelled
183,"I have this phone and it is a thorn in my side, I really abhor it.",0,amazon_cells_labelled
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,amazon_cells_labelled
185,Incredible!.,1,amazon_cells_labelled
186,Design Flaw?.,0,amazon_cells_labelled
187,Great phone!.,1,amazon_cells_labelled
188,Waste of 13 bucks.,0,amazon_cells_labelled
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,amazon_cells_labelled
190,The replacement died in a few weeks.,0,amazon_cells_labelled
191,Any ring tone..Overall good phone to buy..,1,amazon_cells_labelled
192,Lately they have been extremely nice and helpful on the phone.,1,amazon_cells_labelled
193,I have had problems wit hit dropping signal and more.,0,amazon_cells_labelled
194,Not impressed.,0,amazon_cells_labelled
195,"Light weight, I hardly notice it is there.",1,amazon_cells_labelled
196,You'll love how thin it is.,1,amazon_cells_labelled
197,Bad Choice.,0,amazon_cells_labelled
198,The pleather case doesn't fit.,0,amazon_cells_labelled
199,"useless phone, simply deaf.",0,amazon_cells_labelled
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,amazon_cells_labelled
201,All in all I think it was a good investment.,1,amazon_cells_labelled
202,It makes very strange ticking noises before it ends the call.,0,amazon_cells_labelled
203,The best electronics of the available FM Transmitters.,1,amazon_cells_labelled
204,Battery lasts only a few hours.,0,amazon_cells_labelled
205,"great headset, very impressed - H500.",1,amazon_cells_labelled
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,amazon_cells_labelled
207,I've had this for nearly 2 years and it has worked great for me.,1,amazon_cells_labelled
208,Good transmit audio.,1,amazon_cells_labelled
209,We are sending it back.,0,amazon_cells_labelled
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,amazon_cells_labelled
211,"If you hate earbugs, avoid this phone by all means.",0,amazon_cells_labelled
212,Great price also!,1,amazon_cells_labelled
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,amazon_cells_labelled
214,fast service.,1,amazon_cells_labelled
215,I would highly recommend this.,1,amazon_cells_labelled
216,I would recommend this.,1,amazon_cells_labelled
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0,amazon_cells_labelled
218,WORST PHONE EVER.,0,amazon_cells_labelled
219,I'm still infatuated with this phone.,1,amazon_cells_labelled
220,Freezes frequently4.,0,amazon_cells_labelled
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,amazon_cells_labelled
222,"Simple, lightweight and great fit.",1,amazon_cells_labelled
223,"All in all, I'd expected a better consumer experience from Motorola.",0,amazon_cells_labelled
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,amazon_cells_labelled
225,These are certainly very comfortable and functionality is decent.,1,amazon_cells_labelled
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,amazon_cells_labelled
227,I'm a bit disappointed.,0,amazon_cells_labelled
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0,amazon_cells_labelled
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,amazon_cells_labelled
230,The battery is completely useless to me.,0,amazon_cells_labelled
231,What a big waste of time.,0,amazon_cells_labelled
232,Don't waste your $$$ on this one.,0,amazon_cells_labelled
233,Great sound and service.,1,amazon_cells_labelled
234,Really pleased with this product so far.,1,amazon_cells_labelled
235,One of my favorite purchases ever.,1,amazon_cells_labelled
236,best bluetooth on the market.,1,amazon_cells_labelled
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1,amazon_cells_labelled
238,I was very excited to get this headset because I thought it was really cute.,1,amazon_cells_labelled
239,Do not make the same mistake as me.,0,amazon_cells_labelled
240,Big Disappointment with calendar sync.,0,amazon_cells_labelled
241,the phone was unusable and was not new.,0,amazon_cells_labelled
242,Worst Customer Service Ever.,0,amazon_cells_labelled
243,"No additional ear gels provided, and no instructions whatsoever.",0,amazon_cells_labelled
244,It defeats the purpose of a bluetooth headset.,0,amazon_cells_labelled
245,Worth every penny.,1,amazon_cells_labelled
246,Excellent wallet type phone case.,1,amazon_cells_labelled
247,Nice headphones for the price and they work great!,1,amazon_cells_labelled
248,Internet is excrutiatingly slow.,0,amazon_cells_labelled
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,amazon_cells_labelled
250,"It's fits like a glove and is strong, secure, and durable.",1,amazon_cells_labelled
251,O my gosh the best phone I have ever had.,1,amazon_cells_labelled
252,It's very attractive and appears to be of good quality.,1,amazon_cells_labelled
253,I love all the features and form factor.,1,amazon_cells_labelled
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,amazon_cells_labelled
255,poor quality and service.,0,amazon_cells_labelled
256,"The cable looks so thin and flimsy, it is scary.",0,amazon_cells_labelled
257,Great Earpiece.,1,amazon_cells_labelled
258,Excellent hands free tool.,1,amazon_cells_labelled
259,Great for using with your home stereo.,1,amazon_cells_labelled
260,Good product - incredible value.,1,amazon_cells_labelled
261,Only had this a month but it's worked flawlessly so far.,1,amazon_cells_labelled
262,Works great.,1,amazon_cells_labelled
263,Absolutel junk.,0,amazon_cells_labelled
264,THAT one didn't work either.,0,amazon_cells_labelled
265,Battery life is real good.,1,amazon_cells_labelled
266,Returned 8 hours later.,0,amazon_cells_labelled
267,It's a great item.,1,amazon_cells_labelled
268,Don't waste your money!.,0,amazon_cells_labelled
269,Love this headset!,1,amazon_cells_labelled
270,"Not only will it drain your player, but may also potentially fry it.",0,amazon_cells_labelled
271,Worked perfectly!,1,amazon_cells_labelled
272,Unreliable - I'm giving up.,0,amazon_cells_labelled
273,I gave it 5 stars because of the sound quality.,1,amazon_cells_labelled
274,Avoid this one if you can.,0,amazon_cells_labelled
275,Reversible plug works great.,1,amazon_cells_labelled
276,I wasted my little money with this earpiece.,0,amazon_cells_labelled
277,Very good phone.,1,amazon_cells_labelled
278,"Best of all is the rotating feature, very helpful.",1,amazon_cells_labelled
279,Comfort for our whole family.,1,amazon_cells_labelled
280,"Good product, good seller.",1,amazon_cells_labelled
281,I love this bluetooth!,1,amazon_cells_labelled
282,"First of all, it doesn't wear well.",0,amazon_cells_labelled
283,I am very impressed with this headset from Plantronics.,1,amazon_cells_labelled
284,I got it because it was so small and adorable.,1,amazon_cells_labelled
285,Great phone!.,1,amazon_cells_labelled
286,I wouldn't recommend buying this product.,0,amazon_cells_labelled
287,Piece of Junk.,0,amazon_cells_labelled
288,Poorly contstruct hinge.,0,amazon_cells_labelled
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,amazon_cells_labelled
290,Great Phone.,1,amazon_cells_labelled
291,Don't buy it.,0,amazon_cells_labelled
292,Excellent Phone.,1,amazon_cells_labelled
293,DO NOT PURCHASE THIS PHONE.,0,amazon_cells_labelled
294,The voice recognition thru the handset is excellent.,1,amazon_cells_labelled
295,This is hands down the best phone I've ever had.,1,amazon_cells_labelled
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,amazon_cells_labelled
297,This one works and was priced right.,1,amazon_cells_labelled
298,Customer service was terrible.,0,amazon_cells_labelled
299,Battery life still not long enough in Motorola Razor V3i.,0,amazon_cells_labelled
300,Sending it back.,0,amazon_cells_labelled
301,Now I know that I made a wise decision.,1,amazon_cells_labelled
302,Someone shouldve invented this sooner.,1,amazon_cells_labelled
303,Good price.,1,amazon_cells_labelled
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,amazon_cells_labelled
305,I received it quickly and it works great!!,1,amazon_cells_labelled
306,Has been working great.,1,amazon_cells_labelled
307,"As many people complained, I found this headset's microphone was very weak.",0,amazon_cells_labelled
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,amazon_cells_labelled
309,They do not care about the consumer one bit.,0,amazon_cells_labelled
310,"This is a good battery, and it got here really fast.",1,amazon_cells_labelled
311,The instruction manual is lacking.,0,amazon_cells_labelled
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1,amazon_cells_labelled
313,Phone now holds charge like it did when it was new.,1,amazon_cells_labelled
314,The battery is unreliable as well as the service use antena.,0,amazon_cells_labelled
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,amazon_cells_labelled
316,We have gotten a lot of compliments on it.,1,amazon_cells_labelled
317,This is definitely a must have if your state does not allow cell phone usage while driving.,1,amazon_cells_labelled
318,I want my money back.,0,amazon_cells_labelled
319,I love this device.,1,amazon_cells_labelled
320,I am also very happy with the price.,1,amazon_cells_labelled
321,I ordered this product first and was unhappy with it immediately.,0,amazon_cells_labelled
322,The Ngage is still lacking in earbuds.,0,amazon_cells_labelled
323,I was able to do voice dialing in the car with no problem.,1,amazon_cells_labelled
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,amazon_cells_labelled
325,"good item, low price.",1,amazon_cells_labelled
326,"However-the riingtones are not the best, and neither are the games.",0,amazon_cells_labelled
327,The plug did not work very well.,0,amazon_cells_labelled
328,AMAZON SUCKS.,0,amazon_cells_labelled
329,Rip off---- Over charge shipping.,0,amazon_cells_labelled
330,VERY comfortable.,1,amazon_cells_labelled
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,amazon_cells_labelled
332,The reception is excellent!,1,amazon_cells_labelled
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,amazon_cells_labelled
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,amazon_cells_labelled
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,amazon_cells_labelled
336,Obviously there is a problem with the adhesive.,0,amazon_cells_labelled
337,Very disappointing.,0,amazon_cells_labelled
338,"It was an inexpensive piece, but I would still have expected better quality.",0,amazon_cells_labelled
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0,amazon_cells_labelled
340,Excellent sound quality.,1,amazon_cells_labelled
341,Was not happy.,0,amazon_cells_labelled
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,amazon_cells_labelled
343,New Battery works great in phone.,1,amazon_cells_labelled
344,Worst customer service.,0,amazon_cells_labelled
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,amazon_cells_labelled
346,Reception is terrible and full of static.,0,amazon_cells_labelled
347,Good audio quality.,1,amazon_cells_labelled
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1,amazon_cells_labelled
349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,amazon_cells_labelled
350,Were JERKS on the phone.,0,amazon_cells_labelled
351,Works like a charm.. Works as advertised.,1,amazon_cells_labelled
352,"Comfortable, Nice Range, Good Battery Life.",1,amazon_cells_labelled
353,Their network coverage in Los Angeles is horrible.,0,amazon_cells_labelled
354,Excellent starter wireless headset.,0,amazon_cells_labelled
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,amazon_cells_labelled
356,The only thing that I think could improve is the sound leaks out from the headset.,0,amazon_cells_labelled
357,"First off the reception sucks, I have never had more than 2 bars, ever.",0,amazon_cells_labelled
358,The phone gets EXTREMELY HOT!,0,amazon_cells_labelled
359,"The microphone also works well, but (according to people I have called) it applifies everything.",1,amazon_cells_labelled
360,Nice design and quality.,1,amazon_cells_labelled
361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,amazon_cells_labelled
362,"It is light, easy to use, and has very clear reception and transmission.",1,amazon_cells_labelled
363,"bad fit, way too big.",0,amazon_cells_labelled
364,It definitely was not as good as my S11.,1,amazon_cells_labelled
365,awesome device.,1,amazon_cells_labelled
366,Waste of money.,0,amazon_cells_labelled
367,"I had ordered a motorola data cable, got a very well finished and working product.",1,amazon_cells_labelled
368,Love This Phone.,1,amazon_cells_labelled
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,amazon_cells_labelled
370,"I'll be drivng along, and my headset starts ringing for no reason.",0,amazon_cells_labelled
371,Display is excellent and camera is as good as any from that year.,1,amazon_cells_labelled
372,Battery life is also great!,1,amazon_cells_labelled
373,The worst phone I've ever had.... Only had it for a few months.,0,amazon_cells_labelled
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,amazon_cells_labelled
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,amazon_cells_labelled
376,Protects the phone on all sides.,1,amazon_cells_labelled
377,This is a VERY average phone with bad battery life that operates on a weak network.,0,amazon_cells_labelled
378,"Clear Skype Calls, Long Battery Life, Long Range.",1,amazon_cells_labelled
379,Soyo technology sucks.,0,amazon_cells_labelled
380,Great Hands Free Device.,1,amazon_cells_labelled
381,"you can even take self portraits with the outside (exterior) display, very cool.",1,amazon_cells_labelled
382,Same problem as others have mentioned.,0,amazon_cells_labelled
383,After trying many many handsfree gadgets this is the one that finally works well.,1,amazon_cells_labelled
384,Magical Help.,1,amazon_cells_labelled
385,The worst piece of crap ever along with the Verizon customer service.,0,amazon_cells_labelled
386,Poor sound quality.,0,amazon_cells_labelled
387,The best phone in market :).,1,amazon_cells_labelled
388,It worked very well.,1,amazon_cells_labelled
389,The company shipped my product very promptly and it works well.,1,amazon_cells_labelled
390,Exactly what I wanted.,1,amazon_cells_labelled
391,The picture resolution is far below what other comparably-priced phones are offering today.,0,amazon_cells_labelled
392,This is a great deal.,1,amazon_cells_labelled
393,"Excellent product, I am very satisfied with the purchase.",1,amazon_cells_labelled
394,I highly recommend these and encourage people to give them a try.,1,amazon_cells_labelled
395,Better than you'd expect.,1,amazon_cells_labelled
396,"Using all earpieces, left or right, this thing will not stay on my ear.",0,amazon_cells_labelled
397,Great product and price.,1,amazon_cells_labelled
398,"Sounds good reasonably priced and effective, Its that simple !",1,amazon_cells_labelled
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,amazon_cells_labelled
400,what a disappointment,0,amazon_cells_labelled
401,Very prompt service.,1,amazon_cells_labelled
402,Excellent product for the price.,1,amazon_cells_labelled
403,Very pleased with this headset.,1,amazon_cells_labelled
404,don't waste your money and time.,0,amazon_cells_labelled
405,I especially love the long battery life.,1,amazon_cells_labelled
406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,amazon_cells_labelled
407,Works great.,1,amazon_cells_labelled
408,Plantronics Bluetooth Excelent Buy.,1,amazon_cells_labelled
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,amazon_cells_labelled
410,I'll be looking for a new earpiece.,0,amazon_cells_labelled
411,I highly recommend this device to everyone!,1,amazon_cells_labelled
412,Jawbone Era is awesome too!,1,amazon_cells_labelled
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,amazon_cells_labelled
414,After a year the battery went completely dead on my headset.,0,amazon_cells_labelled
415,"I have used several phone in two years, but this one is the best.",1,amazon_cells_labelled
416,An Awesome New Look For Fall 2000!.,1,amazon_cells_labelled
